# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
08/02/2021 12:00:55,Class A,377739000,55.429087,12.707545,Under way using engine,0.0,9.3,4.9,4,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:01:05,Class A,266440000,55.383035,12.682410,Under way using engine,0.0,12.4,8.8,11,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:01:06,Class A,377739000,55.429582,12.707605,Under way using engine,0.0,9.3,4.2,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:01:14,Class A,377739000,55.429927,12.707647,Under way using engine,0.0,9.3,4.0,6,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:01:16,Class A,266440000,55.383578,12.682602,Under way using engine,0.0,12.0,9.3,10,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:01:24,Class A,377739000,55.430373,12.707722,Under way using engine,0.0,9.3,4.9,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:01:26,Class A,266440000,55.384130,12.682812,Under way using engine,,12.1,12.9,7,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:01:34,Class A,266440000,55.384628,12.682950,Under way using engine,0.0,12.2,11.4,10,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:01:34,Class A,377739000,55.430805,12.707787,Under way using engine,0.0,9.3,5.1,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:01:45,Class A,377739000,55.431282,12.707847,Under way using engine,0.0,9.3,4.3,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:01:45,Class A,266440000,55.385172,12.683115,Under way using engine,0.0,12.0,11.6,9,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:01:54,Class A,266440000,55.385733,12.683262,Under way using engine,,12.2,10.2,9,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:01:55,Class A,377739000,55.431668,12.707902,Under way using engine,0.0,9.3,4.5,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:02:05,Class A,266440000,55.386333,12.683438,Under way using engine,0.0,12.1,9.2,10,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:02:14,Class A,377739000,55.432507,12.708023,Under way using engine,0.0,9.3,4.3,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:02:16,Class A,266440000,55.386887,12.683612,Under way using engine,0.0,12.1,10.0,8,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:02:24,Class A,377739000,55.432957,12.708078,Under way using engine,0.0,9.3,4.2,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:02:26,Class A,266440000,55.387437,12.683775,Under way using engine,0.0,12.0,10.3,8,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:02:34,Class A,377739000,55.433388,12.708143,Under way using engine,0.0,9.3,4.4,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:02:35,Class A,266440000,55.387998,12.683927,Under way using engine,,12.3,9.7,10,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:02:45,Class A,266440000,55.388480,12.684065,Under way using engine,0.0,11.8,9.4,10,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:02:45,Class A,377739000,55.433868,12.708212,Under way using engine,0.0,9.3,4.6,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:02:47,Class A,377739000,55.433868,12.708212,Under way using engine,0.0,9.3,4.6,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:02:54,Class A,266440000,55.389042,12.684233,Under way using engine,0.0,12.3,9.4,8,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:02:55,Class A,377739000,55.434255,12.708267,Under way using engine,0.0,9.3,5.2,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:03:05,Class A,266440000,55.389642,12.684407,Under way using engine,,12.2,9.0,10,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:03:15,Class A,377739000,55.435140,12.708388,Under way using engine,0.0,9.3,3.7,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:03:16,Class A,266440000,55.390180,12.684562,Under way using engine,0.0,11.8,7.2,10,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:03:24,Class A,377739000,55.435547,12.708452,Under way using engine,0.0,9.3,5.5,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:03:34,Class A,377739000,55.435978,12.708508,Under way using engine,0.0,9.3,4.6,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:03:35,Class A,266440000,55.391265,12.684930,Under way using engine,0.0,12.0,10.9,12,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:03:45,Class A,377739000,55.436455,12.708572,Under way using engine,0.0,9.3,3.7,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:03:45,Class A,266440000,55.391758,12.685102,Under way using engine,0.0,12.1,11.9,10,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:03:54,Class A,266440000,55.392292,12.685292,Under way using engine,0.0,11.9,9.4,11,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:03:55,Class A,377739000,55.436842,12.708608,Under way using engine,0.0,9.2,3.7,6,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:04:04,Class A,377739000,55.437270,12.708673,Under way using engine,0.0,9.2,4.9,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:04:05,Class A,266440000,55.392837,12.685490,Under way using engine,0.0,12.0,10.9,10,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:04:15,Class A,377739000,55.437718,12.708740,Under way using engine,0.0,9.3,4.8,4,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:04:16,Class A,266440000,55.393427,12.685688,Under way using engine,0.0,11.8,10.4,10,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:04:24,Class A,377739000,55.438122,12.708783,Under way using engine,0.0,9.3,3.5,4,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:04:25,Class A,266440000,55.393968,12.685878,Under way using engine,0.0,11.9,11.6,8,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:04:34,Class A,377739000,55.438552,12.708832,Under way using engine,0.0,9.3,4.1,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:04:35,Class A,266440000,55.394517,12.686023,Under way using engine,,12.1,9.8,9,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:04:45,Class A,377739000,55.439028,12.708888,Under way using engine,0.0,9.3,3.4,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:04:45,Class A,266440000,55.394997,12.686165,Under way using engine,0.0,11.8,9.0,10,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:04:54,Class A,266440000,55.395543,12.686323,Under way using engine,0.0,12.0,9.4,7,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:04:55,Class A,266440000,55.395543,12.686323,Under way using engine,0.0,12.0,9.4,7,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:04:55,Class A,377739000,55.439437,12.708942,Under way using engine,0.0,9.3,4.8,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:05:05,Class A,266440000,55.396092,12.686465,Under way using engine,0.0,12.0,7.3,8,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:05:15,Class A,377739000,55.440295,12.709050,Under way using engine,0.0,9.3,3.3,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:05:16,Class A,266440000,55.396683,12.686638,Under way using engine,0.0,11.9,8.0,8,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:05:24,Class A,377739000,55.440698,12.709100,Under way using engine,0.0,9.3,4.7,6,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:05:26,Class A,266440000,55.397235,12.686790,Under way using engine,,12.2,7.6,10,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:05:34,Class A,377739000,55.441125,12.709173,Under way using engine,0.0,9.3,5.3,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:05:35,Class A,266440000,55.397762,12.686965,Under way using engine,0.0,11.6,9.4,8,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:05:45,Class A,266440000,55.398260,12.687107,Under way using engine,,12.1,8.6,9,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:05:45,Class A,377739000,55.441602,12.709227,Under way using engine,0.0,9.3,3.1,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:05:54,Class A,266440000,55.398790,12.687268,Under way using engine,0.0,11.7,9.8,8,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:05:55,Class A,377739000,55.442013,12.709273,Under way using engine,0.0,9.3,3.4,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:06:05,Class A,266440000,55.399348,12.687427,Under way using engine,0.0,12.1,9.7,8,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:06:15,Class A,377739000,55.442870,12.709373,Under way using engine,0.0,9.3,4.0,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:06:16,Class A,266440000,55.399945,12.687587,Under way using engine,0.0,12.1,8.6,10,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:06:24,Class A,377739000,55.443257,12.709420,Under way using engine,0.0,9.3,4.1,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:06:26,Class A,266440000,55.400495,12.687763,Under way using engine,0.0,12.1,9.6,9,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:06:34,Class A,377739000,55.443707,12.709482,Under way using engine,0.0,9.3,4.4,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:06:35,Class A,266440000,55.401053,12.687927,Under way using engine,0.0,12.3,8.5,9,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:06:44,Class A,377739000,55.444133,12.709532,Under way using engine,0.0,9.3,3.8,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:06:45,Class A,266440000,55.401553,12.688093,Under way using engine,0.0,12.3,9.4,9,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:06:54,Class A,266440000,55.402127,12.688258,Under way using engine,,12.6,8.5,10,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:06:55,Class A,377739000,55.444588,12.709577,Under way using engine,0.0,9.3,3.0,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:07:05,Class A,266440000,55.402685,12.688435,Under way using engine,0.0,12.3,8.8,9,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:07:06,Class A,377739000,55.445043,12.709652,Under way using engine,0.0,9.3,6.1,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:07:14,Class A,266440000,55.403260,12.688615,Under way using engine,,12.6,10.3,10,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:07:15,Class A,377739000,55.445448,12.709708,Under way using engine,0.0,9.3,4.6,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:07:24,Class A,377739000,55.445833,12.709752,Under way using engine,0.0,9.3,3.4,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:07:25,Class A,266440000,55.403880,12.688805,Under way using engine,0.0,12.5,10.1,11,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:07:35,Class A,377739000,55.446283,12.709812,Under way using engine,0.0,9.3,5.0,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:07:44,Class A,377739000,55.446708,12.709867,Under way using engine,0.0,9.3,3.4,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:07:45,Class A,266440000,55.404947,12.689173,Under way using engine,0.0,12.4,10.3,11,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:07:54,Class A,266440000,55.405520,12.689370,Under way using engine,,12.7,9.8,11,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:07:55,Class A,377739000,55.447163,12.709933,Under way using engine,0.0,9.3,4.8,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:08:06,Class A,377739000,55.447618,12.710000,Under way using engine,0.0,9.3,4.7,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:08:14,Class A,266440000,55.406637,12.689808,Under way using engine,,12.6,12.2,7,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:08:15,Class A,377739000,55.448023,12.710047,Under way using engine,0.0,9.3,3.1,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:08:24,Class A,266440000,55.407202,12.689948,Under way using engine,0.0,12.6,7.7,10,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:08:24,Class A,377739000,55.448412,12.710100,Under way using engine,0.0,9.3,4.4,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:08:34,Class A,377739000,55.448863,12.710170,Under way using engine,0.0,9.3,4.8,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:08:35,Class A,266440000,55.407762,12.690138,Under way using engine,,12.2,11.2,5,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:08:44,Class A,266440000,55.408348,12.690248,Under way using engine,0.0,12.9,7.3,9,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:08:44,Class A,377739000,55.449290,12.710217,Under way using engine,0.0,9.3,3.2,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:08:48,Class A,377739000,55.449290,12.710217,Under way using engine,0.0,9.3,3.2,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:08:55,Class A,266440000,55.408898,12.690412,Under way using engine,0.0,12.0,9.5,5,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:08:55,Class A,377739000,55.449748,12.710273,Under way using engine,0.0,9.3,3.2,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:09:05,Class A,266440000,55.409490,12.690517,Under way using engine,,12.9,6.4,10,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:09:06,Class A,377739000,55.450205,12.710332,Under way using engine,0.0,9.3,4.3,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:09:14,Class A,266440000,55.410038,12.690705,Under way using engine,0.0,12.1,10.1,7,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:09:16,Class A,377739000,55.450632,12.710393,Under way using engine,0.0,9.3,4.8,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:09:24,Class A,266440000,55.410623,12.690852,Under way using engine,,12.9,7.8,11,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:09:24,Class A,377739000,55.451002,12.710450,Under way using engine,0.0,9.4,4.6,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:09:34,Class A,377739000,55.451458,12.710517,Under way using engine,0.0,9.4,5.0,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:09:35,Class A,266440000,55.411167,12.691057,Under way using engine,,11.9,10.4,6,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:09:44,Class A,377739000,55.451888,12.710575,Under way using engine,0.0,9.4,4.5,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:09:44,Class A,266440000,55.411745,12.691197,Under way using engine,,12.7,7.9,10,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:09:55,Class A,266440000,55.412288,12.691383,Under way using engine,0.0,11.9,10.5,6,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:10:05,Class A,266440000,55.412862,12.691522,Under way using engine,,12.6,8.5,9,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:10:06,Class A,377739000,55.452815,12.710695,Under way using engine,0.0,9.4,4.1,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:10:14,Class A,266440000,55.413415,12.691683,Under way using engine,0.0,12.2,9.4,8,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
08/02/2021 12:10:16,Class A,377739000,55.453245,12.710762,Under way using engine,0.0,9.4,5.0,5,9108439,J8B5374,INGEBORG PILOT,Cargo,No additional information,11,88,GPS,5.1,DK CPH,08/02/2021 10:00:00,AIS,73,15,8,3
08/02/2021 12:10:24,Class A,266440000,55.413977,12.691842,Under way using engine,0.0,12.3,9.1,8,9227431,SKGQ,POLAR,Fishing,,11,61,GPS,6.4,SKAGEN,,AIS,42,19,5,6
